service_id,date,exception_type
72955,20251019,2
72955,20251109,2
72955,20250901,1
72955,20251127,1
72955,20251225,1
72955,20260101,1
72953,20250901,2
72953,20251127,2
72953,20251225,2
72953,20251231,2
82069,20250901,2
82069,20251127,2
82069,20251225,2
75396,20250901,2
75396,20251127,2
75396,20251225,2
75398,20250901,1
75398,20251127,1
75398,20251225,1
75398,20260101,1
82071,20250901,1
82071,20251127,1
82071,20251225,1
82071,20260101,1
