fare_id,price,currency_type,payment_method,transfers,transfer_duration
436985,4.80,USD,1,,
436986,4.60,USD,1,,
436987,4.00,USD,1,,
436988,3.20,USD,1,,
436989,2.55,USD,1,,
436990,2.55,USD,1,,
436991,4.50,USD,1,,
436992,4.50,USD,1,,
436993,4.50,USD,1,,
436994,4.50,USD,1,,
436995,4.75,USD,1,,
436996,4.90,USD,1,,
436997,5.20,USD,1,,
436998,5.40,USD,1,,
436999,5.55,USD,1,,
437000,10.50,USD,1,,
437001,6.40,USD,1,,
437002,7.35,USD,1,,
437003,7.70,USD,1,,
437004,6.50,USD,1,,
437005,7.30,USD,1,,
437006,5.75,USD,1,,
437007,6.10,USD,1,,
437008,12.20,USD,1,,
437009,6.55,USD,1,,
437010,5.60,USD,1,,
437011,3.80,USD,1,,
437012,3.35,USD,1,,
437013,3.00,USD,1,,
437014,2.55,USD,1,,
437015,2.55,USD,1,,
437016,2.55,USD,1,,
437017,2.55,USD,1,,
437018,2.55,USD,1,,
437019,2.55,USD,1,,
437020,7.55,USD,1,,
437021,2.55,USD,1,,
437022,2.55,USD,1,,
437023,3.25,USD,1,,
437024,3.75,USD,1,,
437025,4.35,USD,1,,
437026,4.75,USD,1,,
437027,5.40,USD,1,,
437028,5.85,USD,1,,
437029,4.35,USD,1,,
437030,5.80,USD,1,,
437031,6.30,USD,1,,
437032,5.60,USD,1,,
437033,5.55,USD,1,,
437034,5.35,USD,1,,
437035,4.80,USD,1,,
437036,4.60,USD,1,,
437037,4.00,USD,1,,
437038,3.20,USD,1,,
437039,2.55,USD,1,,
437040,2.55,USD,1,,
437041,4.50,USD,1,,
437042,4.50,USD,1,,
437043,4.50,USD,1,,
437044,4.50,USD,1,,
437045,4.75,USD,1,,
437046,4.90,USD,1,,
437047,5.20,USD,1,,
437048,5.40,USD,1,,
437049,5.55,USD,1,,
437050,10.50,USD,1,,
437051,6.40,USD,1,,
437052,7.35,USD,1,,
437053,7.70,USD,1,,
437054,6.50,USD,1,,
437055,7.30,USD,1,,
437056,6.15,USD,1,,
437057,6.50,USD,1,,
437058,12.60,USD,1,,
437059,6.90,USD,1,,
437060,5.25,USD,1,,
437061,4.20,USD,1,,
437062,3.95,USD,1,,
437063,3.60,USD,1,,
437064,3.15,USD,1,,
437065,3.00,USD,1,,
437066,2.80,USD,1,,
437067,2.55,USD,1,,
437068,2.55,USD,1,,
437069,2.55,USD,1,,
437070,2.55,USD,1,,
437071,7.55,USD,1,,
437072,2.55,USD,1,,
437073,2.55,USD,1,,
437074,3.15,USD,1,,
437075,3.75,USD,1,,
437076,4.35,USD,1,,
437077,5.05,USD,1,,
437078,5.50,USD,1,,
437079,3.75,USD,1,,
437080,5.45,USD,1,,
437081,6.50,USD,1,,
437082,5.80,USD,1,,
437083,5.90,USD,1,,
437084,5.55,USD,1,,
437085,5.00,USD,1,,
437086,4.80,USD,1,,
437087,4.30,USD,1,,
437088,3.60,USD,1,,
437089,2.60,USD,1,,
437090,2.55,USD,1,,
437091,5.10,USD,1,,
437092,5.10,USD,1,,
437093,5.10,USD,1,,
437094,5.10,USD,1,,
437095,5.35,USD,1,,
437096,5.50,USD,1,,
437097,5.65,USD,1,,
437098,5.75,USD,1,,
437099,5.95,USD,1,,
437100,10.50,USD,1,,
437101,6.05,USD,1,,
437102,7.00,USD,1,,
437103,7.35,USD,1,,
437104,6.70,USD,1,,
437105,7.55,USD,1,,
437106,6.40,USD,1,,
437107,6.75,USD,1,,
437108,12.85,USD,1,,
