fare_id,rider_category_id,price,expiration_date,commencement_date
436306,5,3.75,,
436307,5,2.10,,
436308,5,5.05,,
436309,5,2.10,,
436310,5,4.35,,
436311,5,3.50,,
436312,5,3.35,,
436313,5,3.25,,
436314,5,3.10,,
436315,5,3.05,,
436316,5,3.00,,
436317,5,2.95,,
436318,5,2.85,,
436319,5,2.85,,
436320,5,2.85,,
436321,5,3.05,,
436322,5,3.20,,
436323,5,3.35,,
436324,5,3.55,,
436325,5,3.70,,
436326,5,3.90,,
436327,5,4.25,,
436328,5,4.45,,
436329,5,3.70,,
436330,5,4.45,,
436331,5,4.70,,
436332,5,4.40,,
436333,5,2.10,,
436334,5,4.25,,
436335,5,3.95,,
436336,5,3.90,,
436337,5,3.65,,
436338,5,3.40,,
436339,5,3.05,,
436340,5,2.80,,
436341,5,2.55,,
436342,5,2.55,,
436343,5,2.55,,
436344,5,2.55,,
436345,5,2.45,,
436346,5,2.40,,
436347,5,2.20,,
436348,5,2.10,,
436349,5,2.10,,
436350,5,7.15,,
436351,5,4.75,,
436352,5,5.20,,
436353,5,5.40,,
436354,5,4.80,,
436355,5,5.25,,
436356,5,2.10,,
436357,5,3.75,,
436358,5,5.05,,
436359,5,2.10,,
436360,5,4.50,,
436361,5,3.65,,
436362,5,3.50,,
436363,5,3.40,,
436364,5,3.30,,
436365,5,3.25,,
436366,5,3.20,,
436367,5,3.10,,
436368,5,3.05,,
436369,5,3.05,,
436370,5,3.05,,
436371,5,3.25,,
436372,5,3.35,,
436373,5,3.55,,
436374,5,3.70,,
436375,5,3.90,,
436376,5,4.10,,
436377,5,4.40,,
436378,5,4.65,,
436379,5,3.90,,
436380,5,4.60,,
436381,5,4.90,,
436382,5,4.55,,
436383,5,2.10,,
436384,5,4.40,,
436385,5,4.15,,
436386,5,4.05,,
436387,5,3.80,,
436388,5,3.55,,
436389,5,3.20,,
436390,5,3.00,,
436391,5,2.85,,
436392,5,2.85,,
436393,5,2.85,,
436394,5,2.85,,
436395,5,2.70,,
436396,5,2.65,,
436397,5,2.50,,
436398,5,2.40,,
436399,5,2.10,,
436400,5,7.30,,
436401,5,4.90,,
436402,5,5.40,,
436403,5,5.55,,
436404,5,5.00,,
436405,5,5.40,,
436406,5,5.05,,
436407,5,5.05,,
436408,5,3.75,,
436409,5,2.90,,
436410,5,7.55,,
436411,5,6.70,,
436412,5,6.55,,
436413,5,6.45,,
436414,5,6.35,,
436415,5,6.30,,
436416,5,6.25,,
436417,5,6.15,,
436418,5,6.10,,
436419,5,6.10,,
436420,5,6.10,,
436421,5,6.30,,
436422,5,6.40,,
436423,5,6.60,,
436424,5,6.75,,
436425,5,6.95,,
436426,5,7.15,,
436427,5,7.45,,
436428,5,7.70,,
436429,5,6.95,,
436430,5,7.65,,
436431,5,7.95,,
436432,5,7.60,,
436433,5,5.25,,
436434,5,7.45,,
436435,5,7.20,,
436436,5,7.10,,
436437,5,6.85,,
436438,5,6.60,,
436439,5,6.25,,
436440,5,6.05,,
436441,5,5.90,,
436442,5,5.90,,
436443,5,5.90,,
436444,5,5.90,,
436445,5,5.85,,
436446,5,5.80,,
436447,5,5.60,,
436448,5,5.55,,
436449,5,5.40,,
436450,5,10.35,,
436451,5,7.95,,
436452,5,8.45,,
436453,5,8.60,,
436454,5,8.05,,
436455,5,8.45,,
436456,5,2.10,,
436457,5,2.10,,
436458,5,2.90,,
436459,5,3.75,,
436460,5,4.70,,
436461,5,3.85,,
436462,5,3.75,,
436463,5,3.65,,
436464,5,3.50,,
436465,5,3.45,,
436466,5,3.40,,
436467,5,3.35,,
436468,5,3.25,,
436469,5,3.25,,
436470,5,3.25,,
436471,5,3.45,,
436472,5,3.55,,
436473,5,3.75,,
436474,5,3.90,,
436475,5,4.10,,
436476,5,4.30,,
436477,5,4.60,,
436478,5,4.85,,
436479,5,4.10,,
436480,5,4.85,,
436481,5,5.10,,
436482,5,4.75,,
436483,5,2.45,,
436484,5,4.65,,
436485,5,4.35,,
436486,5,4.25,,
436487,5,4.05,,
436488,5,3.80,,
436489,5,3.40,,
436490,5,3.20,,
436491,5,3.05,,
436492,5,3.05,,
436493,5,3.05,,
436494,5,3.05,,
436495,5,3.00,,
436496,5,3.00,,
436497,5,2.80,,
436498,5,2.75,,
436499,5,2.60,,
436500,5,7.55,,
436501,5,5.15,,
436502,5,5.60,,
436503,5,5.75,,
436504,5,5.20,,
436505,5,5.65,,
436506,5,4.35,,
436507,5,4.50,,
436508,5,7.55,,
436509,5,4.70,,
436510,5,3.75,,
436511,5,3.40,,
436512,5,3.25,,
436513,5,3.15,,
436514,5,3.00,,
436515,5,3.00,,
436516,5,2.95,,
436517,5,2.85,,
436518,5,2.80,,
436519,5,2.80,,
436520,5,2.80,,
436521,5,2.60,,
436522,5,2.50,,
436523,5,2.30,,
436524,5,1.25,,
436525,5,2.30,,
436526,5,2.50,,
436527,5,2.85,,
436528,5,3.05,,
436529,5,1.25,,
436530,5,1.25,,
436531,5,4.50,,
436532,5,4.15,,
436533,5,4.20,,
436534,5,4.05,,
436535,5,3.75,,
436536,5,3.65,,
436537,5,3.45,,
436538,5,3.20,,
436539,5,2.85,,
436540,5,2.85,,
436541,5,3.90,,
436542,5,3.90,,
436543,5,3.90,,
436544,5,3.90,,
436545,5,3.95,,
436546,5,4.00,,
436547,5,4.10,,
436548,5,4.15,,
436549,5,4.25,,
436550,5,6.45,,
436551,5,3.35,,
436552,5,3.80,,
436553,5,4.00,,
436554,5,4.60,,
436555,5,5.05,,
436556,5,3.50,,
436557,5,3.65,,
436558,5,6.70,,
436559,5,3.85,,
436560,5,3.40,,
436561,5,3.75,,
436562,5,1.25,,
436563,5,1.25,,
436564,5,1.25,,
436565,5,1.25,,
436566,5,1.25,,
436567,5,1.75,,
436568,5,1.90,,
436569,5,1.90,,
436570,5,1.90,,
436571,5,2.10,,
436572,5,2.25,,
436573,5,2.45,,
436574,5,2.60,,
436575,5,2.75,,
436576,5,2.95,,
436577,5,3.30,,
436578,5,3.50,,
436579,5,2.75,,
436580,5,3.50,,
436581,5,3.55,,
436582,5,3.20,,
436583,5,3.35,,
436584,5,3.05,,
436585,5,2.80,,
436586,5,2.70,,
436587,5,2.45,,
436588,5,2.20,,
436589,5,1.75,,
436590,5,2.00,,
436591,5,3.05,,
436592,5,3.05,,
436593,5,3.05,,
436594,5,3.05,,
436595,5,3.10,,
436596,5,3.15,,
436597,5,3.25,,
436598,5,3.30,,
436599,5,3.40,,
436600,5,6.20,,
436601,5,3.80,,
436602,5,4.25,,
436603,5,4.45,,
436604,5,3.65,,
436605,5,4.05,,
436606,5,3.35,,
436607,5,3.50,,
436608,5,6.55,,
436609,5,3.75,,
436610,5,3.25,,
436611,5,1.25,,
436612,5,3.75,,
436613,5,1.25,,
436614,5,1.25,,
436615,5,1.25,,
436616,5,1.25,,
436617,5,1.50,,
436618,5,1.65,,
436619,5,1.65,,
436620,5,1.65,,
436621,5,1.95,,
436622,5,2.10,,
436623,5,2.30,,
436624,5,2.45,,
436625,5,2.65,,
436626,5,2.85,,
436627,5,3.15,,
436628,5,3.40,,
436629,5,2.65,,
436630,5,3.35,,
436631,5,3.40,,
436632,5,3.05,,
436633,5,3.20,,
436634,5,2.95,,
436635,5,2.65,,
436636,5,2.55,,
436637,5,2.35,,
436638,5,2.10,,
436639,5,1.55,,
436640,5,1.75,,
436641,5,2.95,,
436642,5,2.95,,
436643,5,2.95,,
436644,5,2.95,,
436645,5,3.00,,
436646,5,3.00,,
436647,5,3.10,,
436648,5,3.15,,
436649,5,3.25,,
436650,5,6.05,,
436651,5,3.65,,
436652,5,4.15,,
436653,5,4.30,,
436654,5,3.50,,
436655,5,3.90,,
436656,5,3.25,,
436657,5,3.40,,
436658,5,6.45,,
436659,5,3.65,,
436660,5,3.15,,
436661,5,1.25,,
436662,5,1.25,,
436663,5,3.75,,
436664,5,1.25,,
436665,5,1.25,,
436666,5,1.25,,
436667,5,1.35,,
436668,5,1.50,,
436669,5,1.50,,
436670,5,1.50,,
436671,5,1.80,,
436672,5,2.00,,
436673,5,2.20,,
436674,5,2.35,,
436675,5,2.50,,
436676,5,2.70,,
436677,5,3.05,,
436678,5,3.25,,
436679,5,2.50,,
436680,5,3.25,,
436681,5,3.30,,
436682,5,2.95,,
436683,5,3.10,,
436684,5,2.80,,
436685,5,2.55,,
436686,5,2.45,,
436687,5,2.20,,
436688,5,1.90,,
436689,5,1.40,,
436690,5,1.60,,
436691,5,2.85,,
436692,5,2.85,,
436693,5,2.85,,
436694,5,2.85,,
436695,5,2.85,,
436696,5,2.90,,
436697,5,3.00,,
436698,5,3.05,,
436699,5,3.15,,
436700,5,5.95,,
436701,5,3.55,,
436702,5,4.00,,
436703,5,4.20,,
436704,5,3.40,,
436705,5,3.80,,
436706,5,3.10,,
436707,5,3.30,,
436708,5,6.35,,
436709,5,3.50,,
436710,5,3.00,,
436711,5,1.25,,
436712,5,1.25,,
436713,5,1.25,,
436714,5,3.75,,
436715,5,1.25,,
436716,5,1.25,,
436717,5,1.25,,
436718,5,1.25,,
436719,5,1.25,,
436720,5,1.25,,
436721,5,1.55,,
436722,5,1.80,,
436723,5,2.05,,
436724,5,2.20,,
436725,5,2.40,,
436726,5,2.60,,
436727,5,2.90,,
436728,5,3.15,,
436729,5,2.40,,
436730,5,3.10,,
436731,5,3.15,,
436732,5,2.85,,
436733,5,3.00,,
436734,5,2.70,,
436735,5,2.45,,
436736,5,2.35,,
436737,5,2.10,,
436738,5,1.70,,
436739,5,1.25,,
436740,5,1.40,,
436741,5,2.70,,
436742,5,2.70,,
436743,5,2.70,,
436744,5,2.70,,
436745,5,2.75,,
436746,5,2.80,,
436747,5,2.90,,
436748,5,2.90,,
436749,5,3.00,,
436750,5,5.75,,
436751,5,3.40,,
436752,5,3.90,,
436753,5,4.05,,
436754,5,3.25,,
436755,5,3.70,,
436756,5,3.05,,
436757,5,3.25,,
436758,5,6.30,,
436759,5,3.45,,
436760,5,3.00,,
436761,5,1.25,,
436762,5,1.25,,
436763,5,1.25,,
436764,5,1.25,,
436765,5,3.75,,
436766,5,1.25,,
436767,5,1.25,,
436768,5,1.25,,
436769,5,1.25,,
436770,5,1.25,,
436771,5,1.50,,
436772,5,1.70,,
436773,5,2.00,,
436774,5,2.20,,
436775,5,2.35,,
436776,5,2.55,,
436777,5,2.90,,
436778,5,3.10,,
436779,5,2.35,,
436780,5,3.10,,
436781,5,3.15,,
436782,5,2.80,,
436783,5,2.95,,
436784,5,2.65,,
436785,5,2.40,,
436786,5,2.30,,
436787,5,2.05,,
